Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Planning Address,Supervisor District,Planning Neighborhood,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,DBI Permit Number,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Recording Number,Recording Date,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Latitude,Longitude,Location
2018-010,(2) Predevelopment Feasibility,Gran Oriente Filipino,106,South Park,St,94107,Planning address not yet assigned,6,South of Market,South of Market,MOHCD,Small Sites,0,Rehabilitation,Rental,,,,12/31/1899,,Mission Housing Development Corporation,,Mission Housing Development Corporation,,Not Yet Available,,,,,,,24,24,0,100,24,0,0,0,0,0,0,0,0,,0,0,0,24,0,0,0,0,0,0,0,0,24,0,0,0,0,37.78171497,-122.394403055999,"(37.78171497, -122.394403055999)"
2014-034,(6) Complete,3420 18th ,3420,18th,St,94110,"3420 18TH ST, SAN FRANCISCO, CA 94110",9,Mission,Mission,MOHCD,Inclusionary,0,New Construction,Unknown,06/11/2015,,,06/11/2015,03/29/2018,Sternberg Benjamin Architects,,,"201311041054, 201311041060",2012.1572,http://propertymap.sfplanning.org/?search=2012.1572,"2012.1572E,2012.1572E_3,2012.1572PPA,2012.1572U,2012.1572V",12/16/2014,Fee Payment,,,16,0,16,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.762004248,-122.419986073999,"(37.762004248, -122.419986073999)"
2012-013,(6) Complete,Alchemy by Alta,218-220,Buchanan,St,94102,"218 BUCHANAN ST, SAN FRANCISCO, CA 94102",8,Western Addition,Hayes Valley,MOHCD,Inclusionary,0,New Construction,Rental,11/01/2013,,,11/01/2013,01/12/2018,"Alta Laguna, LLC",,,"201209059006, 201306270646, 201409196757, 201512175390, 201607142295, 201608185330, 201608185339, 201608185340, 201608185341, 201608185342, 201608185344, 201608185345, 201608185346, 201608185347, 201608185349, 201608185350, 201608185351, 201608185352, 201608185353, 201608185354, 201608185360, 201608185361, 201608185362, 201608185363, 201608185364, 201608185365, 201608185368, 201608185369, 201608185371, 201608185372, 201608185373, 2015412175383",2012.0033,http://propertymap.sfplanning.org/?search=2012.0033,"2012.0033A,2012.0033A_3,2012.0033C,2012.0033E,2012.0033F,2012.0033R,2012.0033S,2012.0033U,2012.0033U_3,2014-000029GPR",08/16/2012,On-site BMR Project,2013-J601456,02/11/2013,330,50,280,15,0,12,23,15,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,37.771697127,-122.426146640999,"(37.771697127, -122.426146640999)"
2012-016,(6) Complete,33 Tehama,41,Tehama,St,94105,41 TEHAMA ST,6,Financial District,Financial District/South Beach,MOHCD,Inclusionary,0,New Construction,Rental,11/13/2015,,,11/13/2015,05/22/2018,Fritzi Realty,,,,2013.0256,http://propertymap.sfplanning.org/?search=2013.0256,"2013.0256E,2013.0256E_3,2013.0256E_5,2013.0256K,2013.0256V,2013.0256X",11/14/2013,On-site BMR Project,2018-K566222,01/12/2018,398,60,338,15,0,7,32,21,0,0,0,0,0,,49,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,37.787225285098,-122.396308483862,"(37.7872252850981, -122.396308483862)"
2013-011,(6) Complete,1490 Ocean ,1490,Ocean,Ave,94112,"1490 OCEAN AV, SAN FRANCISCO, CA 94112",7,West of Twin Peaks,West of Twin Peaks,MOHCD,Inclusionary,0,New Construction,Unknown,07/23/2015,,,07/23/2015,01/04/2018,,,,200810315636,2008.0538,http://propertymap.sfplanning.org/?search=2008.0538,"2008.0538C,2008.0538E,2008.0538K",06/06/2013,Fee Payment,2013-J707683,07/18/2013,15,0,15,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.724532999,-122.457881964999,"(37.724532999, -122.457881964999)"
2014-016,(6) Complete,The Martin,2051,03rd,St,94107,"2065 03RD ST, SAN FRANCISCO, CA 94107",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,0,New Construction,Rental,12/30/2015,,,12/30/2015,03/21/2018,Raintree 2015 Third Street LLC,,,"201406279814, 201411121259, 201411121261",2010.0726,http://propertymap.sfplanning.org/?search=2010.0726,"2010.0726E,2010.0726E_3,2010.0726K,2010.0726LLA,2010.0726U,2010.0726X",06/05/2014,On-site BMR Project,2014-J984244,12/08/2014,93,12,81,13,0,4,3,5,0,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,37.763734692037,-122.388305886171,"(37.7637346920371, -122.388305886171)"
2014-023,(6) Complete,645 Texas,645,Texas,St,94107,"645 TEXAS ST, SAN FRANCISCO, CA 94107",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,0,New Construction,Ownership,06/19/2015,,,06/19/2015,02/14/2018,Jessie Stuart,Tabernacle Community Development Corporation,,"201312093691, 201410068171, 201410068172, 201410249875",2012.1218,http://propertymap.sfplanning.org/?search=2012.1218,"2012.1218E,2012.1218E_3,2012.1218K,2012.1218U,2012.1218X,2014-002298GPR,2015-004253CND",08/14/2014,On-site BMR Project,2014-J950088,09/16/2014,91,11,80,12,0,0,5,6,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,37.757963409,-122.394571812999,"(37.757963409, -122.394571812999)"
2014-027,(6) Complete,1527-1545 Pine (The Austin),1527-45,Pine,St,94109,"1545 PINE ST, SAN FRANCISCO, CA 94109",3,Nob Hill,Nob Hill,MOHCD,Inclusionary,0,New Construction,Ownership,02/29/2016,,,02/29/2016,02/15/2018,Trumark Urban,,,"201312033256, 201411141511, 201411141513, 201411141516, 201411141517, 201411141519, 201607273531",2006.0383,http://propertymap.sfplanning.org/?search=2006.0383,"2006.0383C,2006.0383E,2006.0383E_3,2006.0383K,2006.0383V",10/02/2014,On-site BMR Project,2014-J981705,12/01/2014,100,12,88,12,0,1,8,3,0,0,0,0,0,,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,37.789288405,-122.421083116999,"(37.789288405, -122.421083116999)"
2015-009,(6) Complete,150 Van Ness ,150,Van Ness,Ave,94102,"69 POLK ST, SAN FRANCISCO, CA 94102",6,Downtown/Civic Center,Tenderloin,MOHCD,Inclusionary,0,New Construction,Rental,11/15/2016,,,11/15/2016,09/27/2018,"Van Ness Hayes Associates, LLC",,,,2013.0973,http://propertymap.sfplanning.org/?search=2013.0973,"2013.0973C,2013.0973E,2013.0973U,2013.0973V,2013.0973X,2013.0973X_3",04/02/2015,On-site BMR Project,2015-K161575,11/25/2015,420,50,370,12,0,3,27,18,2,0,0,0,0,,50,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,37.777134048,-122.418822909999,"(37.777134048, -122.418822909999)"
2015-017,(5) First Construction Document Issued,490 South Van Ness ,490,South Van Ness,Ave,94103,490 SOUTH VAN NESS AVE 94103,9,Mission,Mission,MOHCD,Multifamily,0,New Construction,Rental,09/01/2018,,09/21/2018,09/21/2018,02/01/2020,BRIDGE Housing Corporation,Mission Housing Development Corporation,Entity to be formed,,2015-010406PRJ,http://propertymap.sfplanning.org/?search=2015-010406PRJ,2015-010406ENV,,,,,89,89,0,100,0,0,46,36,7,0,0,8,1,2bd,89,0,0,27,0,0,0,0,27,0,0,62,0,0,0,0,0,37.765479937,-122.417823852999,"(37.765479937, -122.417823852999)"
2015-039,(6) Complete,1198 Valencia,1188,Valencia,St,94110,"1198 VALENCIA ST, SAN FRANCISCO, CA 94110",8,Mission,Mission,MOHCD,Inclusionary,0,New Construction,Ownership,09/23/2016,,,09/23/2016,03/08/2018,"Valencia Street Partners, LLC",,,,2012.0865,http://propertymap.sfplanning.org/?search=2012.0865,"2012.0865C,2012.0865E,2012.0865K,2012.0865U,2012.0865VAR",10/01/2015,On-site BMR Project,2016-K194624,01/27/2016,49,6,43,12,0,0,3,3,0,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37.753931771,-122.421183513999,"(37.753931771, -122.421183513999)"
2015-046,(6) Complete,Stage 1075,1075,Market,St,94103,"1075 MARKET ST, SAN FRANCISCO, CA 94103",6,South of Market,South of Market,MOHCD,Inclusionary,0,New Construction,Ownership,11/03/2016,,,11/03/2016,02/23/2018,Encore Market St LLC,,,201603101753,2013.1690,http://propertymap.sfplanning.org/?search=2013.1690,"2013.1690CND,2013.1690CUA,2013.1690E,2013.1690PPA,2013.1690U,2013.1690X",10/22/2015,On-site BMR Project,2016-K281102,06/29/2016,90,11,79,12,0,4,6,1,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,37.780644215089,-122.41161520228,"(37.7806442150888, -122.41161520228)"
2018-008,(3) Design with Entitlements Approved,600 Van Ness,600,Van Ness,Ave,94102,600 VAN NESS AVE 94102,6,Downtown/Civic Center,Tenderloin,MOHCD,Inclusionary,0,New Construction,Rental,,,,05/23/2023,05/22/2025,"Reuben, Junius & Rose, LLP",,,,2015-012729PRJ,http://propertymap.sfplanning.org/?search=2015-012729PRJ,"2015-012729CUA,2015-012729ENV,2015-012729PPA,2015-012729SHD,2015-012729TDM",05/24/2018,On-site BMR Project ,,,168,24,144,14,0,11,8,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,37.781337431,-122.420093310999,"(37.781337431, -122.420093310999)"
2016-122,(4) Site Work Permit Issued,1335 Larkin,1335,Larkin,St,94109,2176 Market St,3,Nob Hill,Nob Hill,MOHCD,Inclusionary,0,New Construction,Rental,,,,09/20/2021,08/08/2020,Town Consulting,,,,2013.0491,http://propertymap.sfplanning.org/?search=2013.0491,"2013.0491DRP,2013.0491E,2013.0491PPA,2013.0491U,2013.0491V",09/21/2016,Fee Payment,,,22,0,22,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.790330115,-122.419308362999,"(37.790330115, -122.419308362999)"
2008-007,(5) First Construction Document Issued,2800 Sloat Boulevard,2800,Sloat,Blvd,94116,"2800 SLOAT BL, SAN FRANCISCO, CA 94116",4,Parkside,Sunset/Parkside,MOHCD,Inclusionary,0,New Construction,Ownership,10/05/2015,,,10/05/2015,07/01/2018,Ocean Park Development,,,"201402047761, 201501095367, 201501095367, 201501095370, 201501095370, 201501095371, 201501095371",2005.1066,http://propertymap.sfplanning.org/?search=2005.1066,"2005.1066C,2005.1066E,2005.1066E_3,2005.1066K,2005.1066P",11/13/2008,On-site BMR Project,2014-J996978,12/22/2014,56,7,49,13,0,0,2,5,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,37.735853773,-122.504737331999,"(37.735853773, -122.504737331999)"
2008-008,(6) Complete,1 Stanyan,1,Stanyan,St,94118,"3501 GEARY BL, SAN FRANCISCO, CA 94118",1,Inner Richmond,Lone Mountain/USF,MOHCD,Inclusionary,0,New Construction,Unknown,12/22/2016,,,12/22/2016,08/15/2018,Wisfe Aish,,,200712140534,2007.0113,http://propertymap.sfplanning.org/?search=2007.0113,"2007.0113E,2007.0113U",12/31/2008,Fee Payment,2015-K077100,06/17/2015,13,0,13,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.781072362,-122.456521625999,"(37.781072362, -122.456521625999)"
2011-005,(5) First Construction Document Issued,1255-1275 Columbus,1255-1275 ,Columbus,Ave,94133,"1255 COLUMBUS AVE AV, SAN FRANCISCO, CA 94133",2,Russian Hill,Russian Hill,MOHCD,Inclusionary,0,New Construction,Unknown,12/07/2016,,,12/07/2016,02/05/2019,,,,201306149565,2008.0723,http://propertymap.sfplanning.org/?search=2008.0723,"2008.0723E,2008.0723E_3,2008.0723E_4,2008.0723V",06/08/2011,Fee Payment,2014-J864968,04/17/2014,20,0,20,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.805603742,-122.418238739999,"(37.805603742, -122.418238739999)"
2016-055,(5) First Construction Document Issued,2000-2070 Bryant,2000,Bryant,St,94110,"2000 BRYANT ST, SAN FRANCISCO, CA 94110",9,Mission,Mission,MOHCD,Inclusionary,0,New Construction,Rental,01/25/2018,,,01/25/2018,03/25/2020,Nick Podell Company,,,"201406239100, 201406239109",2013.0677,http://propertymap.sfplanning.org/?search=2013.0677,"2013.0677APL,2013.0677CND,2013.0677CUA,2013.0677E,2013.0677E_3,2013.0677LLA,2013.0677PPA,2013.0677U,2013.0677X",05/19/2016,"On-site BMR Project, Land Dedication",2016-K357587,11/15/2016,199,3,196,2,0,1,1,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,37.761194253,-122.410551745999,"(37.761194253, -122.410551745999)"
2012-021,(5) First Construction Document Issued,L Seven,1222,Harrison,St,94103,"350 08TH ST, SAN FRANCISCO, CA 94103",6,South of Market,South of Market,MOHCD,Inclusionary,0,New Construction,Rental,09/30/2014,,,09/30/2014,01/12/2018,Fairfield Residential,,,201307303137,2007.1035,http://propertymap.sfplanning.org/?search=2007.1035,"2007.1035C,2007.1035E,2007.1035E_3,2007.1035E_5,2007.1035K,2007.1035Q,2007.1035S,2007.1035U",12/06/2012,On-site BMR Project,2016-K230908,04/15/2016,410,62,348,15,0,5,32,25,0,0,0,0,0,,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,37.773694401,-122.409666875999,"(37.773694401, -122.409666875999)"
2012-022,(5) First Construction Document Issued,181 Fremont,181,Fremont,St,94107,181 FREMONT ST,6,Downtown/Civic Center,Financial District/South Beach,MOHCD,Inclusionary,0,New Construction,Ownership,06/10/2015,,,06/10/2015,03/06/2018,181 Fremont LLC,,,,2014.1399,http://propertymap.sfplanning.org/?search=2014.1399,"2014.1399W,2014.1399X",12/06/2012,Fee Payment,2013-J646462,04/26/2013,74,0,74,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788147745,-122.406046300999,"(37.788147745, -122.406046300999)"
2013-002,(5) First Construction Document Issued,1 Henry Adams,1,Henry Adams,,94103,"55 DIVISION ST, SAN FRANCISCO, CA 94107",10,South of Market,Mission Bay,MOHCD,Inclusionary,0,New Construction,Rental,02/05/2015,,,02/05/2015,05/20/2018,,,,201306250394,2012.0701,http://propertymap.sfplanning.org/?search=2012.0701,"2012.0701K,2012.0701X",01/24/2013,Land Dedication ,2013-J605669,02/21/2013,239,0,239,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.769201433,-122.403472986999,"(37.769201433, -122.403472986999)"
2013-003,(5) First Construction Document Issued,855 Brannan,801,Brannan,St,94103,"800 BRANNAN ST, SAN FRANCISCO, CA 94103",6,South of Market,South of Market,MOHCD,Inclusionary,0,New Construction,Rental,04/20/2015,,,04/20/2015,01/14/2018,"BW Brannan St, LLC",,,201309045886,2012.0700,http://propertymap.sfplanning.org/?search=2012.0700,2012.0700X,01/31/2013,On-site BMR Project,2013-J605670,02/21/2013,432,55,377,13,0,11,21,22,1,0,0,0,0,,55,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,37.771823860892,-122.403882621095,"(37.771823860892, -122.403882621095)"
2013-005,(5) First Construction Document Issued,1731 Powell ,1731,Powell,St,94133,"1731 POWELL ST, SAN FRANCISCO, CA 94133",3,Russian Hill,Chinatown,MOHCD,Inclusionary,0,New Construction,Unknown,06/30/2016,,,06/30/2016,08/29/2018,,,Mission Housing Development Corporation,,2013.0050,http://propertymap.sfplanning.org/?search=2013.0050,"2013.0050C,2013.0050CND,2013.0050F,2013.0050T,2013.0050Z",02/14/2013,Fee Payment,,,19,0,19,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.800682623,-122.411287503999,"(37.800682623, -122.411287503999)"
2013-006,(5) First Construction Document Issued,5400 Geary  ,5400,Geary,St,94121,"0 V, SAN FRANCISCO, CA",1,Inner Richmond,Outer Richmond,MOHCD,Inclusionary,0,New Construction,Ownership,03/17/2016,,,03/17/2016,05/16/2018,,,,"200806275511, 200806275522",2004.0482,http://propertymap.sfplanning.org/?search=2004.0482,"2004.0482C,2004.0482CND,2004.0482E,2004.0482K,2004.0482SUB",04/25/2013,On-site BMR Project,2013-J768109,10/09/2013,37,4,33,11,0,0,1,2,1,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,37.781142437,-122.477596542999,"(37.781142437, -122.477596542999)"
2016-117,(4) Site Work Permit Issued,830 Eddy & 815 Van Ness,830,Eddy & 815 Van Ness,St,94109,830 EDDY ST 94109,5,Downtown/Civic Center,Western Addition,MOHCD,Inclusionary,0,New Construction,Rental,,,,12/07/2021,09/06/2021,Build Inc,,,,2015-009460PRJ,http://propertymap.sfplanning.org/?search=2015-009460PRJ,"2015-009460CUA,2015-009460ENV,2015-009460PPA,2015-009460SHD",12/08/2016,On-site BMR Project,,,126,18,108,14,0,0,0,0,0,0,0,0,0,,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,37.78309269,-122.421500997999,"(37.78309269, -122.421500997999)"
2013-008,(5) First Construction Document Issued,706 Mission,706,Mission,St,94103,706 MISSION ST 94103,6,Financial District,Financial District/South Beach,MOHCD,Inclusionary,0,New Construction,Unknown,06/12/2017,,,06/12/2017,08/11/2019,Millenium Partners,,,201312204747,2008.1084,http://propertymap.sfplanning.org/?search=2008.1084,"13-070,2008.1084E,2008.1084E_3,2008.1084E_5,2008.1084E_7,2008.1084E_9,2008.1084H,2008.1084H_3,2008.1084K,2008.1084K_3,2008.1084MCM,2008.1084Q,2008.1084R,2008.1084S,2008.1084T,2008.1084U,2008.1084X,2008.1084X_3,2008.1084X_5,2008.1084Z",05/23/2013,Fee Payment,2016-K250098,05/24/2016,185,0,185,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.785962236,-122.403214441999,"(37.785962236, -122.403214441999)"
2013-050,(5) First Construction Document Issued,Fulton 555,555,Fulton,St,94118,"746 LAGUNA ST, SAN FRANCISCO, CA 94102",5,Western Addition,Hayes Valley,MOHCD,Inclusionary,0,New Construction,Ownership,07/28/2014,,,07/28/2014,09/05/2018,"Fulton Street Ventures, LLC",,,,2013.0063,http://propertymap.sfplanning.org/?search=2013.0063,"2013.0063C,2013.0063Q,2013.0063S,2013.0063T",10/03/2013,On-site BMR Project,2015-K126436,08/31/2015,139,17,122,12,0,3,6,8,0,0,0,0,0,,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,37.778159243738,-122.425832395412,"(37.778159243738, -122.425832395412)"
2014-010,(5) First Construction Document Issued,O&M,650,Indiana,St,94107,"666 INDIANA ST, SAN FRANCISCO, CA 94107",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,0,New Construction,Rental,06/02/2015,,,06/02/2015,02/26/2018,Michael Yarne/Build Inc,,,"201312244989, 201312244992, 201406138365, 201408063115, 201501065055, 201501065060",2012.1574,http://propertymap.sfplanning.org/?search=2012.1574,"2012.1574E,2012.1574E_3,2012.1574K,2012.1574U,2012.1574X",05/01/2014,On-site BMR Project,2014-J923409,08/05/2014,111,16,95,14,0,5,4,6,1,0,0,0,0,,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,37.762147830637,-122.391861643543,"(37.7621478306371, -122.391861643543)"
2014-015,(5) First Construction Document Issued,1433 Bush ,1433,Bush,St,94109,1433 BUSH ST 94109,3,Downtown/Civic Center,Nob Hill,MOHCD,Inclusionary,0,New Construction,Ownership,03/22/2018,,,03/22/2018,05/20/2020,JS Sullivan Development,,,,2015-009279PRJ,http://propertymap.sfplanning.org/?search=2015-009279PRJ,"2015-009279CUA,2015-009279ENV,2015-009279PRV,2015-009279TDM,2015-009279VAR",06/01/2017,On-site BMR Project,2016-K346130,10/20/2016,40,6,34,15,0,2,2,0,2,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,37.788363254,-122.420841303999,"(37.788363254, -122.420841303999)"
2014-017,(5) First Construction Document Issued,119 7th ,119,7th,St,94103,"119 07TH ST, SAN FRANCISCO, CA",6,South of Market,South of Market,MOHCD,Inclusionary,0,New Construction,Unknown,10/02/2015,,,10/02/2015,06/28/2018,"American Pacific International, Inc.",,,201406249298,2012.0673,http://propertymap.sfplanning.org/?search=2012.0673,"2012.0673E,2012.0673U,2012.0673X",06/19/2014,Fee Payment,2014-J904789,07/08/2014,39,0,39,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.779072869,-122.410312379999,"(37.779072869, -122.410312379999)"
2014-018,(6) Complete,580 Hayes  ,580,Hayes,St,94102,"580 HAYES ST, SAN FRANCISCO, CA 94102",5,Western Addition,Hayes Valley,MOHCD,Inclusionary,0,New Construction,Unknown,07/29/2015,,,07/29/2015,06/12/2018,"Laguna Hayes, LLC",,,201312093685,2012.0903,http://propertymap.sfplanning.org/?search=2012.0903,"2012.0903C,2012.0903E,2012.0903E_3,2012.0903K,2012.0903U,2012.0903V",06/26/2014,Fee Payment,2014-J915746,07/30/2014,29,0,29,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.776756678,-122.426029253999,"(37.776756678, -122.426029253999)"
2014-028,(5) First Construction Document Issued,815-825 Tennessee,815-825,Tennessee,St,94107,"825 TENNESSEE ST, SAN FRANCISCO, CA 94107",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,0,New Construction,Ownership,08/31/2016,,,08/31/2016,10/30/2018,DM 815 Tennessee Street LLC,,,"201405054911, 201405054913",2013.0220,http://propertymap.sfplanning.org/?search=2013.0220,"2013.0220CND,2013.0220E,2013.0220K,2013.0220PPA,2013.0220U,2013.0220X",10/16/2014,On-site BMR Project,2016k184037,01/05/2016,69,10,59,14,0,0,4,5,1,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,37.761365419,-122.389263883999,"(37.761365419, -122.389263883999)"
2015-003,(5) First Construction Document Issued,800 Indiana,800,Indiana,St,94107,"800 INDIANA ST, SAN FRANCISCO, CA 94107",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,0,New Construction,Unknown,01/06/2016,,,01/06/2016,03/06/2018,Avalon Bay Communities,,,"201406259383, 201507080945",2011.1374,http://propertymap.sfplanning.org/?search=2011.1374,"2011.1374CND,2011.1374E,2011.1374E_3,2011.1374E_5,2011.1374K,2011.1374U,2011.1374X",01/08/2015,Fee Payment,,,326,0,326,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.759196412,-122.391729047999,"(37.759196412, -122.391729047999)"
2017-033,(3) Design with Entitlements Approved,793 South Van Ness ,793,South Van Ness,Ave,94110,793-799 SOUTH VAN NESS AVE,9,Mission,Mission,MOHCD,Inclusionary,0,New Construction,Rental ,,,,12/13/2022,12/12/2024,Farella Braun + Martell LLP,,,,2015-001360PRJ,http://propertymap.sfplanning.org/?search=2015-001360PRJ,"2015-001360CUA,2015-001360ENV,2015-001360PPA,2015-001360TDM",12/14/2017,On-site BMR Project ,,,75,11,64,15,0,0,7,4,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,37.76067284,-122.416701194999,"(37.76067284, -122.416701194999)"
2015-011,(5) First Construction Document Issued,777 Tennessee,777,Tennessee,St,94107,"777 TENNESSEE ST, SAN FRANCISCO, CA 94107",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,0,New Construction,Ownership,10/17/2017,,,10/17/2017,12/16/2019,Triple T Tennessee LLC,,,"201507141485, 201510169989, 201510169991",2013.0312,http://propertymap.sfplanning.org/?search=2013.0312,"2013.0312E,2013.0312E_3,2013.0312K,2013.0312PPA,2013.0312U,2013.0312X",04/30/2015,On-site BMR Project,2015-K087225,07/08/2015,59,8,51,14,0,0,5,2,1,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,37.762026765,-122.389324477999,"(37.762026765, -122.389324477999)"
2015-018,(6) Complete,1238 Sutter  ,1238,Sutter,St,94109,"1238 SUTTER ST, SAN FRANCISCO, CA 94109",3,Downtown/Civic Center,Nob Hill,MOHCD,Inclusionary,0,New Construction,Ownership,11/30/2016,,,11/30/2016,07/20/2018,"Celtic Development, LLC",,,201507161644,2013.1238,http://propertymap.sfplanning.org/?search=2013.1238,"2013.1238C,2013.1238CND,2013.1238E,2013.1238PPA,2013.1238U,2013.1238V",05/07/2015,On-site BMR Project,2015-K147477,10/21/2015,37,4,33,11,0,1,1,2,0,0,0,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,37.787929245,-122.420823968999,"(37.787929245, -122.420823968999)"
2015-022,(5) First Construction Document Issued,901 Tennessee,901,Tennessee,St,94107,"901 TENNESSEE ST, SAN FRANCISCO, CA 94107",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary,0,New Construction,Ownership,12/07/2017,,,12/07/2017,02/05/2020,Mindful Investments LP,,,"201604285990, 201606139794",2013.0321,http://propertymap.sfplanning.org/?search=2013.0321,"2013.0321A,2013.0321CND,2013.0321E,2013.0321U,2013.0321X",05/21/2015,On-site BMR Project,2015-K090561,07/15/2015,44,6,38,14,0,0,3,2,1,0,0,0,0,,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,37.76022721,-122.389153807999,"(37.76022721, -122.389153807999)"
2015-025,(5) First Construction Document Issued,750 Harrison,750,Harrison,St,94107,"750 HARRISON ST, SAN FRANCISCO, CA 94107",6,South of Market,South of Market,MOHCD,Inclusionary,0,New Construction,Rental,10/31/2016,,,10/31/2016,12/30/2018,"SST Investments, LLC",,,"201602230301, 201605177631",2013.0485,http://propertymap.sfplanning.org/?search=2013.0485,"2013.0485CND,2013.0485E,2013.0485ENX,2013.0485U,2013.0485X_OLD,2014-003146SHD",06/04/2015,On-site BMR Project,2016-K239909,05/03/2016,79,9,70,11,9,0,0,0,0,0,0,0,0,,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,37.781873255,-122.398784639999,"(37.781873255, -122.398784639999)"
2015-028,(5) First Construction Document Issued,1546-1564 Market  & 55 Oak,1546-1564,Market,St,94102,"1550 MARKET ST, SAN FRANCISCO, CA 94102",5,Downtown/Civic Center,Hayes Valley,MOHCD,Inclusionary,0,New Construction,Ownership,06/12/2017,,,06/12/2017,08/11/2019,TUP Market LLC/Trumark Urban,,,,2012.0877,http://propertymap.sfplanning.org/?search=2012.0877,"2012.0877CUA,2012.0877CUA-02,2012.0877E,2012.0877E_3,2012.0877E_5,2012.0877U,2012.0877VAR,2012.0877X,2012.0877X_3",06/25/2015,On-site BMR Project,2015-K151993,11/02/2015,109,13,96,12,0,1,9,3,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.774965213,-122.420176872999,"(37.774965213, -122.420176872999)"
